sku,product_name,stock,cost_price,price
830608,APRO PRO Полотно для лобзика (дерево) 100/75 мм 4 мм-6TPI швидкий прямий T144D (пач. 5шт.),18,50.92,77.08
830609,APRO PRO Полотно для лобзика (дерево) 100/75 мм 4 мм-6TPI швидкий фігурний T244D (пач. 5шт.),15,50.92,66.45
830607,APRO PRO Полотно для лобзика (дерево) 116/90 мм 3 мм-8TPI чистий прямий різ T301CD (пач. 5шт.),9,72.58,109.86
830611,APRO PRO Полотно для лобзика (дерево) 132/110 мм 4 мм-6TPI Швидкий прямий T344D (пач. 5шт.),15,58.9,89.49
830603,"APRO PRO Полотно для лобзика (дерево) 76/50 мм 1,4 мм-20TPI чистий фігурний T101AO (пач. 5шт.)",22,67.35,89.49
830602,APRO PRO Полотно для лобзика (дерево) 76/50 мм 2 мм-12TPI швидкий прямий T119B (пач. 5шт.),15,31.16,47.4
830600,APRO PRO Полотно для лобзика (дерево) 76/50 мм 2 мм-12TPI швидкий фігурний T119BO (пач. 5шт.),19,29.26,44.3
830623,APRO PRO Полотно для лобзика (метал) 100/75 мм 3 мм-8TPI Швидкий прямий T127D (пач. 5шт.),27,97.96,136.44
830625,"APRO PRO Полотно для лобзика (метал) 132/100 мм 1,2 мм-21TPI чистий прямий T318A (пач. 5шт.)",13,140.98,204.67
830620,"APRO PRO Полотно для лобзика (метал) 76/50 мм 1,2 мм-21TPI Чистый прямой T118A (пач. 5шт.)",10,78.28,118.72
830660,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø1,0 мм  (пач. 10шт.)",88,2.43,3.54
830661,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø1,5 мм  (пач. 10шт.)",88,3.65,4.43
830690,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø10,0 мм  (пач. 5шт.)",10,76.14,101.0
830692,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø10,5 мм  (пач. 5шт.)",15,85.45,110.75
830693,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø11,0 мм  (пач. 5шт.)",5,98.01,131.13
830694,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø12,0 мм  (пач. 5шт.)",10,121.09,161.25
830695,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø13,0 мм  (пач. 5шт.)",15,146.2,187.39
